Token,POS
Laolla,V
foromo,N09
ya,CPOSS09
kopo,N09
ho,PART
inthanethe,N09
kapa,CONJ
e,CO09
fumane,V
ofising,N09
e,CS09
haufi,NLOC
ya,CPOSS09
SARS,RK
.,ZE
,
Foromo,N09
ya,CPOSS09
kopo,N09
e,CS09
tlameha,VAUX
ho,CN15
tlatswa,V
ke,PART
mokopi,N01
mme,CONJ
e,CS09
seng,MNEG
ke,PART
motho,N01
wa,CPOSS01
boraro,N14
",",ZM
ho,CSINDEF
seng,MNEG
jwalo,ADV
kopo,N09
e,CS09
ka,MNEG
se,MNEG
elwe,V
hloko,N09
.,ZE
,
Thusa,V
o,CSPERS
tadime,V
ho,PART
tataiso,N09
ya,CPOSS09
ho,CN15
etsa,V
kopo,N09
ho,CN15
o,COPERS
thusa,V
tshebetsong,N09
ya,CPOSS09
laesense,N09
.,ZE
,
Karolong,N09
ya,CPOSS09
Client,RV
Types,RV
(,ZPL
Mefuta,N04
ya,CPOSS04
Basebedisi,N02
),ZPR
:,ZM
,
sheba,V
lebokoseng,N05
la,CPOSS05
Manufacturer,RV
for,RV
AGOA,RK
(,ZPL
Mofaboriki,N01
wa,CPOSS01
AGOA,RK
),ZPR
tlasa,NLOC
ngodiso,N09
.,ZE
,
Karolong,N09
ya,CPOSS09
Manufacturer,RV
for,RV
AGOA,RK
Particulars,RV
(,ZPL
Dintlha,N10
tsa,CPOSS10
Mofaboriki,N01
wa,CPOSS01
AGOA,RK
),ZPR
",",ZM
di,CS10
batla,V
,
lebitso,N05
la,CPOSS05
kgwebo,N09
la,CPOSS05
mosebetsi,N03
wa,CPOSS03
hao,PROPOSSPERS
,
sebaka,N07
seo,CD07
mosebetsi,N03
wa,CPOSS03
hao,PROPOSSPERS
o,CS03
emeng,V
ho,PART
sona,PROEMP07
(,ZPL
mohlala,N03
",",ZM
Poloto10,N09
),ZPR
,
lebitso,N05
la,CPOSS05
seterata,N07
le,PART
nomoro,N09
ya,CPOSS09
mosebetsi,N03
,
motsana,N03
oo,CD03
mosebetsi,N03
o,CS03
leng,VCOP
ho,PART
ona,PROEMP03
,
toropo,N09
e,ADJC09
kgolo,ADJ09
kapa,CONJ
toropo,N09
moo,CD18
mosebetsi,N03
o,CS03
leng,VCOP
ho,PART
yona,PROEMP09
;,ZM
le,PART
,
khoutu,N09
ya,CPOSS09
seterata,N07
sa,CPOSS07
motsana,N03
oo,CD03
mosebetsi,N03
o,CS03
leng,VCOP
ho,PART
wona,PROEMP03
.,ZE
,
Karolo,N09
ya,CPOSS09
Authority,RV
to,RV
Apply,RV
(,ZPL
Matla,N06
a,CPOSS06
ho,CN15
etsa,V
Kopo,N09
),ZPR
e,CS09
tlameha,VAUX
ho,CN15
tlatswa,V
ke,PART
monga,N01
kgwebo,N09
ya,CS01
ikemetseng,V
a,CS01
le,VCOP
inotshi,N09
",",ZM
molaodi,N01
",",ZM
balekane,N02
",",ZM
setho,N07
",",ZM
molebedi,N01
wa,CPOSS01
traste,N09
kapa,CONJ
motho,N01
ya,CS01
okametseng,V
kgwebo,N09
ha,CONJ
o,CSPERS
etsa,V
kopo,N09
ya,CPOSS09
ngodiso,N09
ya,CPOSS09
(,ZPL
custom,RV
and,RV
excise,RV
),ZPR
lekgetho,N05
le,PART
lekgetho,N05
la,CPOSS05
thepa,N09
ya,CPOSS09
lehae,N05
bakeng,N07
sa,CPOSS07
mofaboriki,N01
ya,CS01
kgethehileng,V
wa,CPOSS01
AGOA,RK
.,ZE
,
Lebitso,N05
la,CPOSS05
mokopi,N01
kapa,CONJ
lebitso,N05
