Token,POS
Morero,N03
wa,CPOSS03
weposaete,N09
ya,CPOSS09
Ditshebeletso,N10
tsa,CPOSS10
Afrika,N09
Borwa,N14
ke,PART
ho,CN15
fana,V
ka,PART
mohlodi,N01
o,ADJC01
le,VCOP
mong,ADJ01
wa,CPOSS01
tlhahisoleseding,N09
e,CS09
mabapi,N06
le,PART
ditshebeletso,N10
tseo,CD10
mmuso,N03
wa,CPOSS03
Afrika,N09
Borwa,N14
o,CS03
fanang,V
ka,PART
tsona,PROEMP10
.,ZE
Maikemisetso,N06
ke,PART
ho,CN15
fokotsa,VAUX
ho,CN15
se,MNEG
lekalekane,V
ho,CN15
le,VCOP
teng,NLOC
pakeng,N10
tsa,CPOSS10
bao,CD02
ba,CS02
nang,VCOP
le,PART
matla,N06
mmoho,ADV
le,PART
ba,CS02
tinngweng,V
matla,N06
",",ZM
moruo,N03
wa,CPOSS03
pele,NLOC
o,CS03
tswetseng,V
pele,NLOC
ka,PART
botlalo,N14
mmoho,ADV
le,PART
moruo,N03
wa,CPOSS03
bobedi,N14
o,CS03
fokolang,V
.,ZE
,
Weposaete,N09
ena,CD09
ke,VCOP
mokgwa,N03
wa,CPOSS03
bohlokwa,N14
wa,CPOSS03
ho,CN15
kena,V
dipakeng,N10
oo,CD03
sepheo,N07
sa,CPOSS07
ona,PROEMP03
e,CS09
leng,VCOP
ho,CN15
tiisetsa,V
hore,CONJ
baahi,N02
ba,CPOSS02
naha,N09
ba,CS02
kgona,VAUX
ho,CN15
ikamahanya,V
le,PART
mmuso,N03
.,ZE
,
Batho,N02
bao,CD02
ho,CSINDEF
lebelletsweng,V
hore,CONJ
e,CS09
tla,PART
ba,V
bona,PROEMPPERS
basebedisi,N02
ba,CPOSS02
weposaete,N09
ena,CD09
ke,VCOP
baahi,N02
ba,CPOSS02
naha,N09
ya,CPOSS09
Afrika,N09
Borwa,N14
ba,CS02
leng,VCOP
dikarolong,N10
tsohle,PROQUANT10
tsa,CPOSS10
naha,N09
",",ZM
dikgwebo,N10
